name,cls
C1=C(C2=[N+](ON=C2C(=C1)[N+](=O)[O-])[O-])N(CCO)CCO,1
COC1=NC(=O)N(C=C1F)C2C=CC(=O)O2,1
C1C2=CC=CC=C2N3C(=C4C(=N3)C=CC=N4)O1,1
C1C2=CC=CC=C2N3C(=C4C=C5C(=CC4=N3)OCO5)O1,1
CN(C)C1=CC=C(C=C1)CNC2=NC(=NC3=C2SC(=C3)C4=CC=CC=C4)NCC=C,1
CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=CC=C3)OC)C4=CC(=CC=C4)C(=O)NCCN(C)C,1
COC1=C(C=CC(=C1)/C=C/C2=NC3=CC=CC=C3C(=O)N2)O,1
COC1=C(C=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C=C4)OC)OC)OC,1
COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=C(C(=C4)OC)OC)OC)OC,1
C1=CC(=CC(=C1)[N+](=O)[O-])NC(=O)C2=CC=C(O2)[N+](=O)[O-],1
C1=CC=C(C=C1)CC(C2=CSC(=N2)NC3=CC=CC=N3)N,1
CC1=CC(=NC=C1)NC(=O)CCCOC2=CC(=O)N(C3=CC=CC=C32)C.C(=O)(C(F)(F)F)O,1
COC1=CC(=C(C=C1)OC)C2=NN=C3N2N=C(CS3)C4=CC(=C(C=C4)OC)OC,1
CS(=O)(=O)C1=C(C=C(C=C1)C(=O)OCC(=O)N2CCOCC2)[N+](=O)[O-],1
COC1=C(C=C(C=C1)C2=NN(C(C2)C3=CC=CS3)C(=O)C4=CC=CO4)OC,1
C1=CC(=CC(=C1)F)NC(=O)C2=C3C(=C(C=C2)N4C=NC=N4)C=CO3,1
CC(=O)C1=CC=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=C(C=C4)O)OC,1
COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=CC=C4)OC)OC,1
CNC1=CC=CC(=N1)C2=CN=C(C=C2)N3CCN(CC3)C,1
CN1CCN(CC1)C2=CC=C(C=C2)C3=CN4C(=CN=C4C(=C3)NC=O)C5=CC(=CC=C5)OC,1
CN1CCN(CC1)C2=CC=C(C=C2)C3=CN4C(=CN=C4C(=C3)NC=O)C5=CC(=C(C(=C5)OC)OC)OC,1
CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC=C(C=C3)F)C4=CC=C(C=C4)N5CCN(CC5)C,1
CC1=CC=C(C=C1)C2=CC3=C(S2)C(=O)N(C(=N3)NCCOC)C,1
COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=C(C=C4)S(=O)(=O)C)OC,1
