Baseline-Fingerprint,MCC
SVM-M2V6,0.7985
SVM-M2V8,0.7977
SVM-M2V9,0.7977
SVM-M2V7,0.7962
SVM-M2V4,0.7961
SVM-M2V5,0.7957
SVM-CDK,0.7940
XGB-CDK,0.7923
XGB-FP4C,0.7919
SVM-CDKExt,0.7910
XGB-PubChem,0.7910
ET-CDKExt,0.7900
SVM-M2V2,0.7900
SVM-M2V3,0.7900
SVM-M2V1,0.7900
XGB-CDKExt,0.7900
ET-FP4C,0.7880
MLP-M2V6,0.7870
RF-CDKExt,0.7870
LGBM-PubChem,0.7860
ET-CDK,0.7860
LGBM-CDKExt,0.7850
MLP-M2V9,0.7850
LGBM-CDK,0.7840
MLP-M2V4,0.7830
MLP-CDK,0.7830
LGBM-FP4C,0.7820
MLP-M2V7,0.7820
MLP-M2V5,0.7810
MLP-M2V8,0.7790
LGBM-KRC,0.7780
MLP-M2V1,0.7780
SVM-R7D100,0.7780
SVM-R9D100,0.7780
SVM-R8D100,0.7780
SVM-RDKit,0.7770
SVM-R4D100,0.7770
SVM-R5D100,0.7760
SVM-R6D100,0.7750
RF-FP4C,0.7750
MLP-M2V2,0.7750
MLP-FP4C,0.7740
MLP-CDKExt,0.7740
MLP-M2V3,0.7740
SVM-R3D100,0.7740
XGB-KRC,0.7730
MLP-R8D100,0.7720
SVM-Circle,0.7710
ET-PubChem,0.7710
LGBM-RDKit,0.7700
SVM-FP4C,0.7700
MLP-RDKit,0.7700
ET-Circle,0.7700
RF-CDK,0.7700
MLP-R5D100,0.7700
SVM-R2D100,0.7690
MLP-R9D100,0.7680
ET-RDKit,0.7680
MLP-R6D100,0.7680
SVM-PubChem,0.7670
SVM-Hybrid,0.7660
MLP-R4D100,0.7660
ET-Hybrid,0.7660
SVM-R1D100,0.7640
RF-PubChem,0.7630
XGB-KR,0.7610
LGBM-Hybrid,0.7610
MLP-R7D100,0.7610
LGBM-M2V7,0.7610
RF-RDKit,0.7590
LGBM-KR,0.7590
MLP-R2D100,0.7590
RF-Hybrid,0.7590
XGB-Circle,0.7590
LGBM-Circle,0.7590
XGB-M2V7,0.7580
XGB-RDKit,0.7580
MLP-R3D100,0.7560
XGB-M2V8,0.7560
XGB-Hybrid,0.7560
LGBM-M2V5,0.7550
MLP-R1D100,0.7550
RF-Circle,0.7550
XGB-M2V9,0.7540
XGB-M2V5,0.7540
XGB-M2V4,0.7520
XGB-M2V6,0.7510
XGB-M2V1,0.7500
LGBM-M2V6,0.7500
LGBM-M2V8,0.7500
LGBM-M2V9,0.7500
MLP-PubChem,0.7490
LGBM-M2V4,0.7470
MLP-Circle,0.7460
XGB-MACCS,0.7450
LR-RDKit,0.7430
ET-KRC,0.7420
XGB-R7D100,0.7420
LGBM-R7D100,0.7400
LR-M2V6,0.7380
XGB-M2V2,0.7380
LR-M2V7,0.7380
LGBM-M2V2,0.7370
LGBM-M2V1,0.7370
LGBM-M2V3,0.7370
XGB-R6D100,0.7370
MLP-Hybrid,0.7350
MLP-KRC,0.7340
XGB-R3D100,0.7340
XGB-R9D100,0.7340
LR-M2V8,0.7340
XGB-M2V3,0.7340
LGBM-R5D100,0.7340
XGB-R5D100,0.7330
LR-M2V9,0.7330
LR-M2V5,0.7320
RF-MACCS,0.7310
LGBM-R8D100,0.7310
SVM-MACCS,0.7310
ET-MACCS,0.7310
LR-M2V4,0.7310
XGB-R4D100,0.7310
XGB-R8D100,0.7300
RF-KRC,0.7270
MLP-KR,0.7270
ET-M2V7,0.7270
ET-M2V5,0.7270
ET-KR,0.7270
ET-M2V9,0.7260
LGBM-R4D100,0.7260
LGBM-MACCS,0.7260
LGBM-R6D100,0.7260
ET-M2V6,0.7250
LGBM-R9D100,0.7250
LR-M2V2,0.7240
LR-M2V1,0.7230
XGB-R2D100,0.7230
ET-M2V8,0.7210
LGBM-R3D100,0.7200
ET-R6D100,0.7190
LDA-M2V8,0.7180
ET-R5D100,0.7170
PLS-RDKit,0.7170
LDA-M2V9,0.7170
XGB-R1D100,0.7160
LGBM-R2D100,0.7160
LDA-M2V7,0.7160
RF-KR,0.7160
ET-M2V4,0.7160
SVM-KRC,0.7150
LDA-M2V6,0.7150
ET-R8D100,0.7150
RF-M2V6,0.7150
RF-M2V8,0.7140
RF-M2V7,0.7140
RF-M2V5,0.7130
MLP-MACCS,0.7130
ADA-KRC,0.7120
ET-R7D100,0.7120
LGBM-R1D100,0.7110
ET-R9D100,0.7110
LR-PubChem,0.7100
RF-M2V9,0.7100
LDA-CDK,0.7100
KNN-M2V7,0.7100
KNN-M2V8,0.7090
LDA-KRC,0.7080
KNN-M2V6,0.7080
LR-M2V3,0.7070
LDA-M2V5,0.7070
LDA-M2V1,0.7060
KNN-M2V9,0.7050
ADA-FP4C,0.7050
LDA-M2V2,0.7050
ET-FP4,0.7040
LDA-M2V3,0.7040
XGB-CDKGraph,0.7040
KNN-M2V5,0.7040
ET-R4D100,0.7040
XGB-FP4,0.7040
LDA-M2V4,0.7030
RF-R6D100,0.7030
RF-FP4,0.7030
LDA-PubChem,0.7020
RF-CDKGraph,0.7020
LDA-RDKit,0.7010
LDA-CDKExt,0.7010
LR-CDK,0.7000
ADA-KR,0.6990
ET-M2V3,0.6990
RF-R7D100,0.6990
RF-M2V4,0.6990
KNN-R6D100,0.6990
RF-R4D100,0.6980
LR-Circle,0.6980
RF-R5D100,0.6970
SVM-R0D100,0.6970
ET-R2D100,0.6970
ET-M2V1,0.6970
LDA-FP4C,0.6960
SVM-KR,0.6960
LR-KRC,0.6960
ET-M2V2,0.6950
SVM-R0D300,0.6950
KNN-R8D100,0.6950
RF-R8D100,0.6940
KNN-R7D100,0.6940
RF-R9D100,0.6940
LGBM-CDKGraph,0.6930
KNN-M2V4,0.6930
MLP-FP4,0.6920
KNN-R9D100,0.6920
KNN-M2V1,0.6910
KNN-M2V3,0.6910
KNN-CDKExt,0.6910
ET-R3D100,0.6900
LR-KR,0.6900
ET-CDKGraph,0.6890
KNN-R5D100,0.6880
KNN-M2V2,0.6880
ET-R1D100,0.6880
MLP-R0D100,0.6870
RF-M2V1,0.6870
LDA-Circle,0.6870
SVM-FP4,0.6870
LGBM-FP4,0.6860
RF-M2V3,0.6860
RF-M2V2,0.6860
KNN-R4D100,0.6830
LDA-KR,0.6820
PLS-Circle,0.6810
LGBM-R0D300,0.6810
SVM-CDKGraph,0.6810
RF-R3D100,0.6800
LDA-R9D100,0.6800
KNN-CDK,0.6790
LR-CDKExt,0.6790
LR-Hybrid,0.6790
KNN-R1D100,0.6790
RF-R2D100,0.6780
MLP-R0D300,0.6770
LDA-R8D100,0.6770
KNN-FP4C,0.6760
KNN-R2D100,0.6750
MLP-CDKGraph,0.6750
XGB-R0D300,0.6750
KNN-MACCS,0.6740
LDA-R6D100,0.6740
LDA-R7D100,0.6740
LR-FP4C,0.6710
ADA-CDK,0.6710
ADA-PubChem,0.6710
LDA-Hybrid,0.6690
ADA-RDKit,0.6690
KNN-R3D100,0.6680
RF-R1D100,0.6670
ADA-CDKExt,0.6650
LDA-R5D100,0.6640
ADA-M2V5,0.6620
LR-R7D100,0.6610
ADA-M2V6,0.6610
LDA-R4D100,0.6580
ET-R0D300,0.6570
LDA-R3D100,0.6560
ADA-M2V7,0.6550
ADA-M2V9,0.6520
KNN-PubChem,0.6520
DT-FP4C,0.6510
LDA-R2D100,0.6490
XGB-R0D100,0.6490
PLS-KR,0.6480
ADA-R8D100,0.6480
ADA-M2V8,0.6470
LDA-R1D100,0.6470
KNN-Hybrid,0.6470
ET-R0D100,0.6450
ADA-R7D100,0.6440
LGBM-R0D100,0.6430
PLS-FP4C,0.6410
ADA-M2V4,0.6410
ADA-R9D100,0.6400
ADA-R6D100,0.6400
RF-R0D300,0.6390
ADA-Circle,0.6370
KNN-RDKit,0.6370
KNN-FP4,0.6350
ADA-M2V3,0.6340
LR-R6D100,0.6330
DT-PubChem,0.6320
KNN-Circle,0.6310
PLS-KRC,0.6310
ADA-M2V1,0.6310
ADA-M2V2,0.6300
ADA-Hybrid,0.6300
ADA-R5D100,0.6300
NB-RDKit,0.6270
XGB-AP2D,0.6250
LDA-MACCS,0.6230
XGB-Estate,0.6210
RF-R0D100,0.6210
RF-AP2D,0.6180
SVM-Estate,0.6180
LR-MACCS,0.6180
KNN-R0D300,0.6180
ADA-MACCS,0.6170
ADA-R4D100,0.6160
LGBM-Estate,0.6160
DT-CDKExt,0.6160
ET-AP2D,0.6150
LR-R8D100,0.6130
LR-R9D100,0.6110
LGBM-AP2D,0.6110
KNN-R0D100,0.6100
LR-CDKGraph,0.6090
RF-Estate,0.6080
ET-Estate,0.6080
NB-Circle,0.6060
LDA-CDKGraph,0.6060
DT-CDK,0.6050
ADA-R1D100,0.6050
ADA-R2D100,0.6020
ADA-R3D100,0.6010
LR-R5D100,0.6010
PLS-CDKExt,0.5980
LR-R0D100,0.5930
DT-RDKit,0.5920
KNN-CDKGraph,0.5910
PLS-CDK,0.5890
LDA-R0D100,0.5870
LDA-R0D300,0.5870
DT-KR,0.5860
LR-R0D300,0.5860
DT-KRC,0.5860
SVM-AP2D,0.5830
DT-MACCS,0.5800
DT-FP4,0.5790
MLP-Estate,0.5780
KNN-KR,0.5770
MLP-AP2D,0.5770
LR-R4D100,0.5770
ADA-R0D300,0.5750
ADA-CDKGraph,0.5730
KNN-KRC,0.5720
LDA-FP4,0.5720
DT-CDKGraph,0.5700
KNN-Estate,0.5660
ADA-FP4,0.5660
LR-R1D100,0.5610
DT-Hybrid,0.5550
LR-FP4,0.5540
ADA-R0D100,0.5540
PLS-M2V6,0.5530
LR-R3D100,0.5520
PLS-R7D100,0.5520
PLS-M2V5,0.5480
PLS-R6D100,0.5480
LR-R2D100,0.5480
PLS-R8D100,0.5470
PLS-R9D100,0.5470
PLS-Hybrid,0.5460
DT-Estate,0.5410
PLS-FP4,0.5410
PLS-PubChem,0.5400
DT-M2V7,0.5400
PLS-M2V7,0.5370
PLS-R5D100,0.5310
PLS-M2V9,0.5300
PLS-M2V8,0.5290
DT-M2V9,0.5290
NB-KR,0.5260
NB-KRC,0.5250
PLS-M2V4,0.5220
DT-M2V5,0.5180
DT-Circle,0.5160
DT-R6D100,0.5150
NB-Hybrid,0.5150
NB-M2V7,0.5150
DT-M2V8,0.5130
NB-R8D100,0.5130
NB-R9D100,0.5120
NB-R7D100,0.5110
NB-CDKExt,0.5110
LDA-Estate,0.5110
DT-M2V6,0.5080
ADA-Estate,0.5070
NB-M2V6,0.5070
DT-R7D100,0.5070
PLS-R4D100,0.5060
PLS-MACCS,0.5050
NB-M2V8,0.5040
DT-R9D100,0.5020
PLS-M2V3,0.5010
PLS-Estate,0.5010
DT-R8D100,0.5000
NB-M2V9,0.5000
PLS-M2V1,0.5000
LR-Estate,0.4980
PLS-M2V2,0.4970
DT-R5D100,0.4960
NB-R6D100,0.4960
KNN-AP2D,0.4950
NB-CDK,0.4940
PLS-R3D100,0.4930
PLS-R1D100,0.4930
NB-M2V5,0.4910
DT-R4D100,0.4900
DT-M2V1,0.4890
PLS-R2D100,0.4880
DT-R1D100,0.4870
DT-M2V4,0.4840
DT-R2D100,0.4830
DT-AP2D,0.4800
PLS-CDKGraph,0.4790
DT-M2V2,0.4780
NB-R5D100,0.4760
DT-M2V3,0.4720
LDA-AP2D,0.4690
NB-M2V4,0.4680
NB-PubChem,0.4670
LR-AP2D,0.4660
PLS-R0D300,0.4650
ADA-AP2D,0.4620
DT-R3D100,0.4610
DT-R0D300,0.4600
NB-R4D100,0.4590
DT-R0D100,0.4590
NB-R1D100,0.4570
NB-R3D100,0.4560
PLS-R0D100,0.4540
NB-M2V1,0.4540
NB-R2D100,0.4540
NB-M2V3,0.4530
NB-M2V2,0.4490
NB-FP4C,0.4180
NB-R0D100,0.4050
NB-R0D300,0.4010
NB-FP4,0.3990
NB-MACCS,0.3830
PLS-AP2D,0.3710
NB-CDKGraph,0.3540
NB-Estate,0.3530
NB-AP2D,0.2730
