svmrbf-r6d300,svmrbf-ckd,svmrbf-r8d300,xgb-ckd,svmrbf-r9d300,xgb-fp4c,svmrbf-r7d300,svmrbf-ckdext,label
0.319723003,0.034865724,0.277216613,0.002843499,0.273903386,0.000904441,0.323836929,0.040830876,1
0.601338572,0.171503446,0.612532527,0.023859143,0.614083699,0.06277251,0.594243179,0.153838622,1
0.548331417,0.100571832,0.48880537,0.026856244,0.521667902,0.3407299,0.494024754,0.079299468,1
0.688049631,0.120868907,0.564676083,0.1409995,0.507983893,0.64289093,0.690529669,0.077782759,1
0.033837321,0.06991743,0.02122372,0.02572006,0.020916685,0.07993168,0.02378405,0.045965434,1
0.061505071,0.022640297,0.077332683,0.001701295,0.0824324,0.006789267,0.07216076,0.015406228,1
0.024730533,0.334626855,0.023757963,0.72417194,0.024516892,0.003785789,0.026587165,0.176459701,1
0.013243364,0.046635133,0.012227977,0.002830207,0.013099935,0.0868628,0.011754993,0.045540115,1
0.007994656,0.051603094,0.006860003,0.001948476,0.007201059,0.014566541,0.006066816,0.035504133,1
0.009991473,0.002399143,0.008540926,0.000116825,0.008566468,0.000390112,0.00890215,0.015670036,1
0.170460256,0.049983591,0.129625798,0.004715264,0.135859412,0.05680144,0.144797397,0.125890566,1
0.840632374,0.846013154,0.765402632,0.9761369,0.772258688,0.9177177,0.772849151,0.683955571,1
0.672461157,0.15889474,0.567682208,0.06553203,0.558175338,0.9406446,0.65716886,0.092302873,1
0.083766999,0.013887986,0.07888654,0.000518382,0.079376387,0.006409526,0.09607361,0.011539318,1
0.258288168,0.052889789,0.271229101,0.003123045,0.271377515,0.72163403,0.28991812,0.076484628,1
0.879116051,0.342783116,0.924785843,0.8197656,0.926157323,0.8330263,0.896925535,0.291768996,1
0.001561405,0.010536232,0.001824854,0.000317097,0.001979088,0.008917213,0.001526695,0.01749689,1
0.006215225,0.050552659,0.006301204,0.001275361,0.006436018,0.07693845,0.006454722,0.044464828,1
0.794237495,0.571647759,0.746210578,0.714148,0.731857069,0.8088946,0.712062939,0.57929047,1
0.009228388,0.022355767,0.014350679,0.003757238,0.017585411,0.006372929,0.011529613,0.026599906,1
0.013802185,0.042295823,0.013976946,0.001546383,0.017247207,0.005206645,0.013990128,0.065490193,1
0.330079052,0.01864293,0.331912375,0.005608022,0.344014299,0.028386056,0.390404197,0.037691935,1
0.077611174,0.164628914,0.135516966,0.03164214,0.13692509,0.82211816,0.129346673,0.166794259,1
0.001812138,0.020068519,0.001711248,0.000697494,0.001900839,0.001988947,0.001858852,0.02248087,1
0.844444237,0.480096886,0.828468132,0.7745523,0.825764013,0.99182636,0.854236002,0.463971721,1
0.010839605,0.007434221,0.012001682,0.002337575,0.013351227,0.006958962,0.013059593,0.010038177,1
0.002630222,0.039719964,0.00248905,0.001436412,0.002570614,0.070786655,0.002549638,0.040191161,1
0.008896382,0.01210349,0.012173112,0.005088508,0.013784897,0.020030081,0.012643137,0.021783549,1
0.003896709,0.012900762,0.007788805,0.001206636,0.009530534,0.003684342,0.005279349,0.011716633,1
0.454117911,0.75604939,0.403818994,0.47686887,0.399881543,0.7887924,0.448468744,0.681777981,1
0.002569745,0.02562715,0.003044738,0.000526845,0.003349279,0.031853914,0.002800705,0.031098197,1
0.116084797,0.432109931,0.112867623,0.3848784,0.115918153,0.19410914,0.097586733,0.321770755,1
0.001856055,0.073347973,0.00261563,0.001461506,0.002972002,0.028555691,0.002016028,0.051949158,1
0.29758599,0.463677856,0.248069979,0.016700208,0.242303158,0.40592074,0.317029799,0.457235056,1
0.001479379,0.011783698,0.001730583,0.001131117,0.001887753,0.015664697,0.001471012,0.006314949,1
0.635228891,0.705496335,0.419671477,0.7918515,0.446452693,0.5914991,0.54568736,0.846910093,1
0.009290355,0.036474364,0.009942214,0.002164662,0.010602725,0.0868628,0.008695605,0.048922749,1
0.001868615,0.013086406,0.001379925,9.07E-05,0.001448375,0.007600367,0.001761337,0.005786057,1
0.001076282,0.001484378,0.000600806,7.14E-05,0.000652868,6.08E-06,0.000867072,0.001822961,1
0.592315133,0.662401107,0.662512001,0.86687416,0.667845595,0.80610955,0.639191365,0.56712625,1
0.797913273,0.079208527,0.828483061,0.013556838,0.835874073,0.9536767,0.794188517,0.121624836,1
0.050998939,0.036459703,0.065518253,0.003638804,0.068352298,0.006863713,0.058291783,0.03942374,1
0.016141609,0.058314564,0.01980576,0.07072079,0.019381333,0.005904317,0.022726275,0.051690782,1
0.027708774,0.008651544,0.01828376,0.001398623,0.017485541,0.010644794,0.025698493,0.01377362,1
0.074275826,0.249609493,0.068332062,0.023708045,0.062340026,0.3496591,0.093045455,0.244846729,1
0.06791199,0.020432739,0.063504915,0.013714552,0.060861372,0.035422623,0.087048413,0.02516042,1
0.125054825,0.088051079,0.102710801,0.009175241,0.105287416,0.4739738,0.109673849,0.130180431,1
0.030108109,0.03425651,0.019906429,0.000682354,0.020732863,0.029701948,0.035628736,0.052205143,1
0.159866868,0.052569831,0.21032068,0.007130802,0.215819895,0.26270115,0.178565835,0.046691188,1
0.172611929,0.038559545,0.181184189,0.001280427,0.187465046,0.7167649,0.191584387,0.063354169,1
0.009801148,0.129886482,0.007139002,0.2802707,0.007445502,0.004983246,0.010878717,0.073537364,1
